2	B-IUPAC
-	I-IUPAC
Amino	I-IUPAC
-	I-IUPAC
4	I-IUPAC
-	I-IUPAC
hydroxy	I-IUPAC
-	I-IUPAC
6	I-IUPAC
-	I-IUPAC
[	I-IUPAC
2	I-IUPAC
-	I-IUPAC
(	I-IUPAC
phosphonomethoxy	I-IUPAC
)	I-IUPAC
ethyl	I-IUPAC
]	I-IUPAC
pyrimidine	I-IUPAC
was	O
obtained	O
from	O
the	O
appropriate	O
2	B-IUPAC
-	I-IUPAC
amino	I-IUPAC
-	I-IUPAC
4	I-IUPAC
-	I-IUPAC
chloropyrimidine	I-IUPAC
derivative	B-MODIFIER
by	O
alkaline	O
hydrolysis	O
and	O
ester	O
cleavage	O
.	O
These	O
results	O
indicate	O
that	O
substantial	O
modification	O
of	O
the	O
framework	O
of	O
peptide	O
-	O
based	O
siderophores	O
can	O
be	O
tolerated	O
by	O
microbial	O
iron	O
-	O
transport	O
systems	O
.	O
Of	O
the	O
alkyl	O
-	O
substituted	O
1	O
-	O
position	O
analogs	O
of	O
oxytocin	O
studied	O
so	O
far	O
,	O
[	B-IUPAC
1	I-IUPAC
-	I-IUPAC
beta	I-IUPAC
-	I-IUPAC
mercapto	I-IUPAC
-	I-IUPAC
beta	I-IUPAC
,	I-IUPAC
beta	I-IUPAC
-	I-IUPAC
pentamethylenepropionic	I-IUPAC
acid	I-IUPAC
]	I-IUPAC
oxytocin	I-IUPAC
is	O
the	O
most	O
potent	O
antioxytocic	O
agent	O
.	O
These	O
compounds	O
were	O
radiolabeled	O
with	O
fluorine	O
-	O
18	O
,	O
and	O
their	O
biological	O
properties	O
were	O
evaluated	O
in	O
rats	O
and	O
compared	O
with	O
those	O
of	O
[	O
11C	O
]	O
carbonyl	O
WAY	O
100635	O
(	O
[	O
carbonyl	O
-	O
11C	O
]	O
4a	O
)	O
.	O
ABPA	O
proved	O
to	O
be	O
equipotent	O
with	O
AMPA	O
both	O
as	O
an	O
inhibitor	O
of	O
AMPA	O
binding	O
and	O
as	O
a	O
neuronal	O
excitant	O
.	O
The	O
tetrahydropyridine	O
analog	O
of	O
10	O
,	O
compound	O
13	O
,	O
showed	O
a	O
markedly	O
lower	O
receptor	O
affinity	O
(	O
