A	O
series	O
of	O
2	B-MODIFIER
-	I-MODIFIER
substituted	I-MODIFIER
-	O
1	B-IUPAC
-	I-IUPAC
[	I-IUPAC
(	I-IUPAC
biphenyl	I-IUPAC
-	I-IUPAC
4	I-IUPAC
-	I-IUPAC
yl	I-IUPAC
)	I-IUPAC
methyl	I-IUPAC
]	I-IUPAC
-	I-IUPAC
1H	I-IUPAC
-	I-IUPAC
benzimidazole	I-IUPAC
-	I-IUPAC
7	I-IUPAC
-	I-IUPAC
carboxylic	I-IUPAC
acids	I-IUPAC
was	O
prepared	O
from	O
the	O
key	O
intermediate	O
3	B-IUPAC
-	I-IUPAC
amino	I-IUPAC
-	I-IUPAC
2	I-IUPAC
-	I-IUPAC
[	I-IUPAC
[	I-IUPAC
(	I-IUPAC
biphenyl	I-IUPAC
-	I-IUPAC
4	I-IUPAC
-	I-IUPAC
yl	I-IUPAC
)	I-IUPAC
methyl	I-IUPAC
]	I-IUPAC
amino	I-IUPAC
]	I-IUPAC
benzoate	I-IUPAC
(	O
6a	O
-	O
c	O
)	O
in	O
order	O
to	O
clarify	O
the	O
structure	O
-	O
activity	O
relationships	O
of	O
various	O
analogues	O
of	O
2	B-IUPAC
-	I-IUPAC
butyl	I-IUPAC
-	I-IUPAC
1	I-IUPAC
-	I-IUPAC
[	I-IUPAC
[	I-IUPAC
2'	I-IUPAC
-	I-IUPAC
(	I-IUPAC
1H	I-IUPAC
-	I-IUPAC
tetrazol	I-IUPAC
-	I-IUPAC
5	I-IUPAC
-	I-IUPAC
yl	I-IUPAC
)	I-IUPAC
biphenyl	I-IUPAC
-	I-IUPAC
4	I-IUPAC
-	I-IUPAC
yl	I-IUPAC
]	I-IUPAC
methyl	I-IUPAC
]	I-IUPAC
-	I-IUPAC
1H	I-IUPAC
-	I-IUPAC
ben	I-IUPAC
zimidazole	I-IUPAC
-	I-IUPAC
7	I-IUPAC
-	I-IUPAC
carboxylic	I-IUPAC
acid	I-IUPAC
(	O
CV	O
-	O
11194	O
)	O
,	O
a	O
potent	O
and	O
long	O
acting	O
angiotensin	O
II	O
(	O
AII	O
)	O
receptor	O
antagonist	O
.	O
In	O
order	O
to	O
investigate	O
the	O
structural	O
requirements	O
for	O
gastroprotective	O
activity	O
in	O
6	B-IUPAC
-	I-IUPAC
[	I-IUPAC
[	I-IUPAC
1	I-IUPAC
(	I-IUPAC
S	I-IUPAC
)	I-IUPAC
-	I-IUPAC
(	I-IUPAC
3	I-IUPAC
(	I-IUPAC
S	I-IUPAC
)	I-IUPAC
,	I-IUPAC
4	I-IUPAC
