Extensive	O
evidence	O
gathered	O
from	O
structure	O
-	O
activity	O
relationship	O
analysis	O
has	O
identified	O
and	O
confirmed	O
specific	O
positions	O
in	O
the	O
glucagon	O
sequence	O
that	O
are	O
important	O
either	O
for	O
binding	O
to	O
its	O
receptor	O
or	O
for	O
signal	O
transduction	O
.	O
These	O
diastereoisomers	O
were	O
formed	O
in	O
unequal	O
amounts	O
when	O
1	O
,	O
its	O
hexadeuterated	O
analogue	O
8	O
or	O
heptadeuterated	O
analogue	O
9	O
,	O
were	O
incubated	O
in	O
the	O
presence	O
of	O
the	O
rat	O
liver	O
microsomal	O
fraction	O
.	O
The	O
in	O
vitro	O
screening	O
for	O
trypanocidal	O
activity	O
against	O
Trypanosoma	O
brucei	O
rhodesiense	O
of	O
an	O
in	O
-	O
house	O
library	O
of	O
62	O
compounds	O
[	O
i.e.	O
alkane	O
,	O
diphenyl	O
,	O
and	O
azaalkane	O
bisguanidines	O
and	O
bis	B-IUPAC
(	I-IUPAC
2	I-IUPAC
-	I-IUPAC
aminoimidazolines	I-IUPAC
)	I-IUPAC
]	O
,	O
which	O
were	O
chosen	O
for	O
their	O
structural	O
similarity	O
to	O
the	O
trypanocidal	O
agents	O
synthalin	O
(	O
1,10	B-IUPAC
-	I-IUPAC
decanediguanidine	I-IUPAC
)	O
and	O
4,4	B-IUPAC
'	I-IUPAC
-	I-IUPAC
diguanidinodiphenylmethane	I-IUPAC
and	O
the	O
polyamine	B-IUPAC
N	I-IUPAC
(	I-IUPAC
1	I-IUPAC
)	I-IUPAC
-	I-IUPAC
(	I-IUPAC
3	I-IUPAC
-	I-IUPAC
amino	I-IUPAC
-	I-IUPAC
propyl	I-IUPAC
)	I-IUPAC
propane	I-IUPAC
-	I-IUPAC
1,3	I-IUPAC
-	I-IUPAC
diamine	I-IUPAC
,	O
respectively	O
,	O
is	O
reported	O
.	O
The	O
metabolites	O
were	O
isolated	O
in	O
crystalline	O
form	O
from	O
urine	O
for	O
structure	O
determination	O
.	O
A	O
series	O
of	O
2	B-IUPAC
-	I-IUPAC
alkyl	I-IUPAC
-	O
and	O
2	B-IUPAC
-	I-IUPAC
aryl	I-IUPAC
-	O
substituted	B-MODIFIER
8	B-PARTIUPAC
-	I-PARTIUPAC
hydroxy	I-PARTIUPAC
-	I-PARTIUPAC
,	O
8	B-PARTIUPAC
-	I-PARTIUPAC
methoxy	I-PARTIUPAC
-	I-PARTIUPAC
,	O
and	O
8	B-IUPAC
-	I-IUPAC
methylquinazolin	I-IUPAC
-	I-IUPAC
4	I-IUPAC
(	I-IUPAC
3H	I-IUPAC
)	I-IUPAC
-	I-IUPAC
ones	I-IUPAC
has	O
been	O
synthesized	O
and	O
evaluated	O
for	O
PARP	O
inhibitory	O
activity	O
in	O
permeabilized	O
L1210	O
murine	O
leukemia	O
cells	O
.	O
On	O
the	O
basis	O
of	O
our	O
previous	O
observation	O
that	O
N1	B-IUPAC
-	I-IUPAC
alkyl	I-IUPAC
substituted	B-MODIFIER
chlorpropamide	B-IUPAC
derivatives	B-MODIFIER
when	O
administered	O
to	O
rats	O
nonenzymatically	O
eliminated	O
n	B-IUPAC
-	I-IUPAC
propyl	I-IUPAC
isocyanate	I-IUPAC
,	O
a	O
known	O
inhibitor	O
of	O
aldehyde	O
dehydrogenase	O
(	O
AlDH	O
)	O
,	O
we	O
have	O
synthesized	O
other	O
latentiated	O
n	B-IUPAC
-	I-IUPAC
propyl	I-IUPAC
isocyanates	I-IUPAC
as	O
in	O
vivo	O
inhibitors	O
of	O
AlDH	O
.	O
Several	O
subsequent	O
analogues	O
,	O
including	O
the	O
2	B-IUPAC
-	I-IUPAC
chlorobenzoyl	I-IUPAC
(	O
18	O
)	O
,	O
(	B-IUPAC
3	I-IUPAC
